Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
133,"Monday, Sep 5 (1)",boxscore,TOR,@,BAL,W,7,3,,74-59,3,5.5,Gausman,Baumann,,3:17,D,,1.54,++++,
134,"Monday, Sep 5 (2)",boxscore,TOR,@,BAL,W,8,4,,75-59,3,5.5,Berríos,Akin,,2:57,D,"25,451",1.54,+++++,
135,"Tuesday, Sep 6",boxscore,TOR,@,BAL,L,6,9,,75-60,3,6,Tate,White,Bautista,3:53,N,"8,411",1.47,-,
136,"Wednesday, Sep 7",boxscore,TOR,@,BAL,W,4,1,,76-60,3,6.5,Manoah,Kremer,Romano,3:07,N,"11,488",1.5,+,
137,"Friday, Sep 9",boxscore,TOR,@,TEX,W,4,3,,77-60,3,5,Mayza,Leclerc,Romano,2:49,N,"21,329",0.93,++,
138,"Saturday, Sep 10",boxscore,TOR,@,TEX,W,11,7,,78-60,3,5,Gausman,Arihara,Mayza,3:37,N,"28,340",1.02,+++,
139,"Sunday, Sep 11",boxscore,TOR,@,TEX,L,1,4,,78-61,3,6,Pérez,Richards,Leclerc,3:17,D,"20,984",0.95,-,
140,"Monday, Sep 12",boxscore,TOR,,TBR,W,3,2,,79-61,2,5.5,Mayza,Adam,Romano,2:39,N,"23,002",0.96,+,
141,"Tuesday, Sep 13 (1)",boxscore,TOR,,TBR,L,2,4,,79-62,2,6,Springs,Merryweather,Fairbanks,2:59,D,"23,497",1.01,-,
142,"Tuesday, Sep 13 (2)",boxscore,TOR,,TBR,W,7,2,,80-62,2,6,Bass,Poche,,3:03,N,"25,103",0.96,+,
143,"Wednesday, Sep 14",boxscore,TOR,,TBR,W,5,1,,81-62,2,6,Stripling,Rasmussen,,2:35,N,"24,282",0.99,++,
144,"Thursday, Sep 15",boxscore,TOR,,TBR,L,0,11,,81-63,2,6.5,McClanahan,Gausman,,3:06,D,"23,820",0.99,-,
145,"Friday, Sep 16",boxscore,TOR,,BAL,W,6,3,,82-63,2,5.5,Kikuchi,Lyles,,2:40,N,"36,573",1.13,+,
146,"Saturday, Sep 17",boxscore,TOR,,BAL,W,6,3,,83-63,2,4.5,Berríos,Bradish,Romano,3:00,D,"44,448",0.95,++,
147,"Sunday, Sep 18",boxscore,TOR,,BAL,L,4,5,,83-64,2,5.5,Krehbiel,Romano,Bautista,3:18,D,"41,301",0.91,-,
148,"Tuesday, Sep 20",boxscore,TOR,@,PHI,W,18,11,,84-64,2,5.5,Pop,Gibson,,3:41,N,"21,129",0.7,+,
149,"Wednesday, Sep 21",boxscore,TOR,@,PHI,L-wo,3,4,10,84-65,2,6.5,Bellatti,Cimber,,4:08,N,"29,363",0.63,-,
150,"Thursday, Sep 22",boxscore,TOR,@,TBR,L,5,10,,84-66,2,7.5,Yarbrough,Berríos,,3:30,N,"8,799",0.71,--,
151,"Friday, Sep 23",boxscore,TOR,@,TBR,L,6,10,,84-67,2,8.5,Guerra,García,,3:21,N,"17,407",0.8,---,
152,"Saturday, Sep 24",boxscore,TOR,@,TBR,W,3,1,,85-67,2,8.5,Manoah,Rasmussen,Romano,3:18,N,"22,169",1.02,+,
153,"Sunday, Sep 25",boxscore,TOR,@,TBR,W,7,1,,86-67,2,8.5,Stripling,McClanahan,,3:04,D,"16,394",0.77,++,
154,"Monday, Sep 26",boxscore,TOR,,NYY,W-wo,3,2,10,87-67,2,7.5,Mayza,Schmidt,,3:29,N,"34,307",0.46,+++,
155,"Tuesday, Sep 27",boxscore,TOR,,NYY,L,2,5,,87-68,2,8.5,Taillon,Berríos,Trivino,2:55,N,"40,528",0.38,-,
156,"Wednesday, Sep 28",boxscore,TOR,,NYY,L,3,8,,87-69,2,9.5,Cole,Mayza,,3:20,N,"37,008",0.49,--,
157,"Friday, Sep 30",boxscore,TOR,,BOS,W,9,0,,88-69,2,8.5,Manoah,Pivetta,Kikuchi,3:04,N,"37,283",0.57,+,
158,"Saturday, Oct 1",boxscore,TOR,,BOS,W,10,0,,89-69,2,8.5,Stripling,Bello,,3:09,D,"44,612",0.55,++,
159,"Sunday, Oct 2",boxscore,TOR,,BOS,W,6,3,,90-69,2,7.5,Pop,Wacha,Romano,2:50,D,"43,877",0.56,+++,
160,"Monday, Oct 3",boxscore,TOR,@,BAL,W,5,1,8,91-69,2,7.5,Berríos,Kremer,Mayza,2:16,N,"10,642",0.27,++++,
161,"Wednesday, Oct 5 (1)",boxscore,TOR,@,BAL,L,4,5,,91-70,2,7,Hall,White,Baker,2:46,D,,0.01,-,
162,"Wednesday, Oct 5 (2)",boxscore,TOR,@,BAL,W,5,1,,92-70,2,7,Kikuchi,Cano,,3:04,D,"17,248",0,+,
